listing_id,description,room_type
246916,Quality Cozy Studio Next to Subway,Entire home/apt
246938,Scandinavian-apt for up to 5. LES,Entire home/apt
248865,Loft Suite @ Box House Hotel,Entire home/apt
248871,4 BEDROOM -2BATHRM WEST VILLAGE DUPLEX  TOWNHOUSE,Entire home/apt
250259,Pre-War Williamsburg Loft,Entire home/apt
250801,Heart & Soul of Greenwich Village,Entire home/apt
251262,Prime Williamsburg Loft off Bedford,Private room
251277,Private Bdrm /Bath 1 block Ctrl Prk,Private room
252076,+Highly Satisfactory LES dwelling++,Private room
253466,Loft Suite @ The Box House Hotel,Entire home/apt
253475,Loft Suite @ The Box House Hotel,Entire home/apt
253590,Large 1 Bedroom furnished on UWS,Entire home/apt
253800,Loft Suite @ Box House Hotel,Entire home/apt
253803,Loft Suite @ The Box House Hotel,Entire home/apt
253806,Loft Suite @ The Box House Hotel,Entire home/apt
253811,Loft Suite @ The Box House Hotel,entire home/apt
253815,Loft Suite @ The Box House Hotel,Entire home/apt
254131,"Read it 1st, A seprat fur BR, low $",PRIVATE ROOM
255024,"3BR, 2 bathroom condo in Bushwick",Entire home/apt
255476,"The BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",PRIVATE ROOM
255601,Cozy 2 Bedroom 20 Min from City,Entire home/apt
255957,NOLITA! LOCATION! LOCATION! VIEWS! FREE GYM!,Entire home/apt
256078,"Entire apt NYC, Queens. 15 min from Times Square.",Entire home/apt
256328,Luxury Chelsea Townhouse at the High Line,entire home/apt
256369,Alchemy BnB - room in artist loft,Private room
257097,Sunny! 2br Steps to train/restaurants - 15 to NYC,ENTIRE HOME/APT
257787,Heart of Williamsburg. Brand New.,PRIVATE ROOM
258284,"Fresh, Clean Brooklyn Garden Apt.",entire home/apt
258397,Guest Apartment in Owner Occupied Home,Entire home/apt
258688,Spacious & Stylish Chelsea One Bedroom Apartment,Entire home/apt
258838,"Oceanview,close to Manhattan",Entire home/apt
259946,"Budget stay, near transportation",Entire home/apt
260765,NewYork Modern Pre-War LoftStudio,Entire home/apt
